x,y
21,817
28,715
33,619
39,524
44,428
50,332
56,234
61,136
68,27
130,823
136,721
142,625
148,530
154,434
160,338
166,240
172,142
178,32
227,828
233,726
239,630
244,535
250,439
256,343
263,245
268,147
275,38
324,833
330,731
336,635
342,540
348,444
354,348
359,250
366,152
372,42
420,838
427,736
433,641
440,545
447,449
453,353
460,255
467,158
475,48
516,843
523,741
529,646
536,550
543,454
549,358
556,260
563,163
571,53
610,848
618,746
626,651
634,555
641,459
648,364
656,266
664,168
673,58
707,853
715,752
723,656
730,560
738,464
746,368
753,271
761,173
770,63
842,860
848,758
854,663
860,567
866,471
872,375
878,277
885,179
891,70
