epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.528,1.1785,2.27171,1.03289,0.4124,0.65413,0.52392,0.3654,1.06679,1.49607,0.94903,0.000206522,0.000206522,0.000206522
2,538.333,0.97616,1.75806,0.97082,0.47626,0.63939,0.59219,0.42353,1.05295,1.26069,0.93882,0.000401165,0.000401165,0.000401165
3,822.946,0.96597,1.46384,0.96435,0.54242,0.78327,0.66587,0.50085,0.90956,1.15753,0.90423,0.000582058,0.000582058,0.000582058
4,1089.63,0.92075,1.35384,0.95762,0.60506,0.71317,0.72091,0.55787,0.85742,1.02158,0.89481,0.000563125,0.000563125,0.000563125
5,1374.48,0.89469,1.19246,0.94727,0.71047,0.75683,0.80399,0.59222,0.93703,0.96986,0.9237,0.0005425,0.0005425,0.0005425
6,1624.95,0.88789,1.0665,0.96624,0.75102,0.76629,0.8159,0.60395,0.91939,0.88997,0.92184,0.000521875,0.000521875,0.000521875
7,1878.03,0.86013,0.95013,0.9481,0.7665,0.76658,0.84531,0.61584,0.94869,0.88136,0.93024,0.00050125,0.00050125,0.00050125
8,2137.68,0.84087,0.93345,0.94086,0.81619,0.84565,0.88523,0.65765,0.93517,0.7557,0.92619,0.000480625,0.000480625,0.000480625
9,2387.9,0.85819,0.91722,0.96107,0.79869,0.83539,0.9037,0.68254,0.89397,0.71031,0.918,0.00046,0.00046,0.00046
10,2635.7,0.87805,0.8896,0.95609,0.79575,0.88075,0.91551,0.69799,0.88588,0.69126,0.90831,0.000439375,0.000439375,0.000439375
11,2880.55,0.84872,0.81013,0.94606,0.86989,0.85066,0.92243,0.73134,0.79459,0.6648,0.88624,0.00041875,0.00041875,0.00041875
12,3132.01,0.83653,0.78999,0.94523,0.84453,0.89368,0.92619,0.7078,0.84681,0.638,0.90551,0.000398125,0.000398125,0.000398125
13,3386.4,0.80816,0.74821,0.94332,0.87796,0.88403,0.93588,0.69024,0.96859,0.64511,0.92983,0.0003775,0.0003775,0.0003775
14,3636.43,0.79851,0.73615,0.93606,0.86823,0.8952,0.94294,0.73121,0.84051,0.61576,0.89782,0.000356875,0.000356875,0.000356875
15,3889.52,0.82414,0.70882,0.93489,0.85606,0.88732,0.93124,0.74051,0.79678,0.6143,0.88687,0.00033625,0.00033625,0.00033625
16,4139.54,0.79363,0.63013,0.92954,0.88135,0.89439,0.93934,0.71488,0.88154,0.59156,0.90991,0.000315625,0.000315625,0.000315625
17,4380.6,0.78259,0.63021,0.9169,0.90273,0.87525,0.94449,0.71292,0.92961,0.58626,0.91301,0.000295,0.000295,0.000295
18,4624.3,0.76176,0.6143,0.91065,0.90727,0.88179,0.95359,0.76299,0.7602,0.56243,0.87711,0.000274375,0.000274375,0.000274375
19,4868.72,0.76187,0.60181,0.92284,0.85686,0.91275,0.93934,0.74339,0.8182,0.59521,0.88769,0.00025375,0.00025375,0.00025375
20,5121.47,0.76937,0.60967,0.91802,0.8233,0.89452,0.91881,0.7212,0.82767,0.64553,0.89369,0.000233125,0.000233125,0.000233125
21,5358.12,0.69007,0.44796,0.88706,0.89187,0.86914,0.9384,0.71079,0.89643,0.57252,0.91361,0.0002125,0.0002125,0.0002125
22,5596.37,0.64819,0.42547,0.87481,0.87862,0.92094,0.94961,0.75755,0.78963,0.54159,0.88173,0.000191875,0.000191875,0.000191875
23,5839.16,0.65461,0.40886,0.88836,0.86841,0.90652,0.94447,0.76412,0.75577,0.54827,0.87496,0.00017125,0.00017125,0.00017125
24,6077.03,0.67554,0.40871,0.8878,0.8807,0.906,0.95444,0.74806,0.83079,0.55316,0.89147,0.000150625,0.000150625,0.000150625
25,6319.25,0.65468,0.39746,0.8833,0.91906,0.90381,0.95601,0.74039,0.86069,0.53583,0.89998,0.00013,0.00013,0.00013
26,6563.24,0.64802,0.38803,0.88007,0.91156,0.91725,0.95987,0.7855,0.73003,0.49718,0.86795,0.000109375,0.000109375,0.000109375
27,6806.83,0.6166,0.38893,0.87008,0.90288,0.89874,0.94957,0.77094,0.74781,0.51521,0.87155,8.875e-05,8.875e-05,8.875e-05
28,7049.03,0.62471,0.36246,0.87335,0.91448,0.89793,0.94603,0.77991,0.7105,0.49786,0.86425,6.8125e-05,6.8125e-05,6.8125e-05
29,7289.53,0.61557,0.35119,0.86287,0.90654,0.913,0.94808,0.78198,0.70609,0.49247,0.86261,4.75e-05,4.75e-05,4.75e-05
30,7528.73,0.6068,0.35385,0.85916,0.90238,0.91564,0.94897,0.79088,0.68526,0.48904,0.85696,2.6875e-05,2.6875e-05,2.6875e-05
