epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.225,1.07566,4.33724,1.00705,0.38716,0.68649,0.53334,0.41342,0.81718,2.77458,0.88089,0.000175,0.000175,0.000175
2,338.986,0.83264,2.74311,0.90941,0.54063,0.75559,0.70088,0.55806,0.75883,2.04662,0.86043,0.000353877,0.000353877,0.000353877
3,513.305,0.81584,2.3707,0.91218,0.57912,0.73051,0.72749,0.59609,0.70441,2.13878,0.85565,0.00053034,0.00053034,0.00053034
4,663.026,0.8414,2.30139,0.92815,0.71029,0.65511,0.7661,0.62086,0.72999,1.95224,0.85848,0.000612513,0.000612513,0.000612513
5,820.004,0.77411,1.88096,0.91751,0.70692,0.64576,0.67834,0.53123,0.79915,1.86109,0.87583,0.00060835,0.00060835,0.00060835
6,975.173,0.76107,1.77398,0.91042,0.75721,0.61826,0.67683,0.53704,0.77764,1.56442,0.87104,0.000604188,0.000604188,0.000604188
7,1136.63,0.72398,1.5462,0.89338,0.81369,0.53605,0.57546,0.43974,0.85656,1.42008,0.89267,0.000600025,0.000600025,0.000600025
8,1306.91,0.73222,1.41027,0.89808,0.82683,0.60915,0.66382,0.51973,0.80517,1.49863,0.87742,0.000595863,0.000595863,0.000595863
9,1468.22,0.71347,1.32005,0.89389,0.85519,0.42378,0.50662,0.42316,0.69804,1.30781,0.85192,0.0005917,0.0005917,0.0005917
10,1641.74,0.69972,1.32592,0.90175,0.90412,0.51485,0.59887,0.48999,0.704,1.27394,0.85742,0.000587537,0.000587537,0.000587537
11,1835.12,0.70763,1.30891,0.89612,0.84943,0.61339,0.68848,0.55918,0.72235,1.28878,0.85872,0.000583375,0.000583375,0.000583375
12,2031.37,0.68504,1.15847,0.88368,0.86974,0.52364,0.57832,0.44135,0.86622,1.21173,0.89385,0.000579213,0.000579213,0.000579213
13,2225.6,0.68853,1.13925,0.88413,0.88034,0.47598,0.53764,0.4265,0.77719,1.18214,0.87202,0.00057505,0.00057505,0.00057505
14,2424.8,0.68631,1.10466,0.8947,0.85193,0.46121,0.51663,0.41859,0.75535,1.15468,0.86678,0.000570888,0.000570888,0.000570888
15,2642.02,0.66882,1.11143,0.8764,0.90114,0.41464,0.49877,0.39143,0.80719,1.21398,0.87932,0.000566725,0.000566725,0.000566725
16,2850.06,0.67912,1.09205,0.87672,0.84258,0.50383,0.56709,0.43412,0.90075,1.31263,0.89922,0.000562563,0.000562563,0.000562563
17,3061.94,0.68299,1.09179,0.87476,0.8251,0.50232,0.56029,0.44246,0.78882,1.06701,0.87468,0.0005584,0.0005584,0.0005584
18,3278.03,0.69164,1.07576,0.8873,0.90713,0.51202,0.58537,0.4808,0.71022,1.02366,0.85585,0.000554238,0.000554238,0.000554238
