epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2683,1.80998,3.08704,2.17778,0.55102,0.18241,0.17,0.09911,1.54341,2.06562,1.91437,0.00019375,0.00019375,0.00019375
2,145.378,1.29905,1.48307,1.62189,0.80856,0.27923,0.4081,0.26729,1.19563,1.41073,1.58192,0.000389852,0.000389852,0.000389852
3,230.204,1.19205,1.19722,1.50352,0.52643,0.64529,0.59905,0.38215,1.24787,1.27607,1.58834,0.000581994,0.000581994,0.000581994
4,319.659,1.08947,1.03966,1.40051,0.71466,0.62543,0.74569,0.53102,1.05971,0.9049,1.39644,0.000606437,0.000606437,0.000606437
5,412.808,1.0635,0.88813,1.34678,0.83821,0.6373,0.73292,0.53998,0.99973,0.78975,1.34428,0.00060025,0.00060025,0.00060025
6,511.571,1.02085,0.82824,1.29457,0.68716,0.7704,0.82976,0.61153,1.01263,0.72684,1.34128,0.000594062,0.000594062,0.000594062
7,617.616,0.99792,0.78279,1.27858,0.81797,0.81693,0.85048,0.6121,1.09792,0.69898,1.4096,0.000587875,0.000587875,0.000587875
8,725.051,1.01598,0.76062,1.27663,0.84614,0.87013,0.91582,0.65557,1.08754,0.62517,1.38002,0.000581687,0.000581687,0.000581687
9,849.696,0.97966,0.68397,1.25141,0.85316,0.70268,0.76228,0.56203,0.97132,0.68221,1.31103,0.0005755,0.0005755,0.0005755
10,976.779,0.9751,0.68601,1.26613,0.89753,0.90809,0.94154,0.70909,0.95694,0.59041,1.27625,0.000569313,0.000569313,0.000569313
11,1111.35,0.95826,0.67126,1.23161,0.93553,0.90439,0.95735,0.71994,0.94709,0.53166,1.26817,0.000563125,0.000563125,0.000563125
12,1250.12,0.95196,0.62307,1.23372,0.92573,0.92645,0.9533,0.68191,1.04447,0.56231,1.34407,0.000556938,0.000556938,0.000556938
13,1401.09,0.9356,0.61193,1.22033,0.84779,0.9026,0.93483,0.69378,1.0298,0.57759,1.34324,0.00055075,0.00055075,0.00055075
14,1613.24,0.94875,0.64232,1.22225,0.93657,0.92603,0.95321,0.72682,0.92354,0.50415,1.24225,0.000544563,0.000544563,0.000544563
15,1801.57,0.93055,0.6306,1.22741,0.93251,0.90102,0.94436,0.71071,0.97584,0.52346,1.28362,0.000538375,0.000538375,0.000538375
16,2088.75,0.93535,0.62811,1.21433,0.93981,0.90268,0.93547,0.71742,0.9114,0.50878,1.23963,0.000532187,0.000532187,0.000532187
17,2375.97,0.94318,0.60136,1.22061,0.94555,0.92268,0.95664,0.72897,0.92963,0.47386,1.24458,0.000526,0.000526,0.000526
18,2597.5,0.90839,0.56941,1.1869,0.95183,0.92983,0.96283,0.69915,1.00701,0.47892,1.27716,0.000519812,0.000519812,0.000519812
19,2763.22,0.88352,0.58305,1.16484,0.92703,0.93523,0.97052,0.74437,0.9334,0.46953,1.23177,0.000513625,0.000513625,0.000513625
20,2948.52,0.88008,0.5473,1.14443,0.89282,0.92235,0.9611,0.75208,0.86257,0.4395,1.20854,0.000507438,0.000507438,0.000507438
21,3119.33,0.88141,0.5637,1.17485,0.95905,0.93314,0.95645,0.74088,0.91417,0.45444,1.25077,0.00050125,0.00050125,0.00050125
22,3281.18,0.86587,0.54371,1.16527,0.94567,0.92858,0.94783,0.71544,0.90387,0.45128,1.22795,0.000495063,0.000495063,0.000495063
23,3512.75,0.86702,0.54027,1.16029,0.94132,0.90781,0.9457,0.66482,1.07745,0.51032,1.34805,0.000488875,0.000488875,0.000488875
24,3656.42,0.8441,0.52122,1.13839,0.94345,0.94647,0.97107,0.74017,0.87453,0.43727,1.21507,0.000482687,0.000482687,0.000482687
25,3830.13,0.86453,0.53389,1.1477,0.94988,0.92943,0.95627,0.74146,0.87996,0.44026,1.21855,0.0004765,0.0004765,0.0004765
26,3988.18,0.84117,0.52402,1.13233,0.95888,0.9179,0.96361,0.75228,0.85356,0.43593,1.20473,0.000470312,0.000470312,0.000470312
27,4146.4,0.85328,0.51449,1.16053,0.92455,0.9458,0.96648,0.76241,0.85458,0.44344,1.20869,0.000464125,0.000464125,0.000464125
28,4316.38,0.83929,0.50363,1.1192,0.94414,0.94106,0.9717,0.77018,0.86847,0.42182,1.21779,0.000457938,0.000457938,0.000457938
29,4481.35,0.83042,0.49677,1.12763,0.96576,0.93356,0.97186,0.7523,0.8433,0.41124,1.17536,0.00045175,0.00045175,0.00045175
30,4639.86,0.83417,0.51646,1.15281,0.94583,0.93057,0.96966,0.78549,0.82347,0.42096,1.20723,0.000445562,0.000445562,0.000445562
31,4803.98,0.81231,0.47249,1.12882,0.95228,0.94997,0.97321,0.77173,0.85859,0.41704,1.20919,0.000439375,0.000439375,0.000439375
32,4957.8,0.82532,0.51041,1.13076,0.92657,0.95596,0.95653,0.72632,0.93785,0.42862,1.23723,0.000433187,0.000433187,0.000433187
33,5120.44,0.83676,0.50926,1.13977,0.93243,0.95072,0.96684,0.76288,0.85301,0.45237,1.19773,0.000427,0.000427,0.000427
34,5279.07,0.80915,0.48259,1.10837,0.95245,0.95822,0.98,0.7853,0.83035,0.39732,1.19193,0.000420812,0.000420812,0.000420812
35,5478.15,0.823,0.48785,1.12653,0.9409,0.93733,0.97364,0.78022,0.83091,0.40938,1.18658,0.000414625,0.000414625,0.000414625
36,5698.1,0.82346,0.47733,1.13538,0.96126,0.93316,0.97368,0.77957,0.84114,0.40146,1.18946,0.000408438,0.000408438,0.000408438
37,5912.96,0.81816,0.47999,1.12645,0.95049,0.96602,0.97685,0.75426,0.92165,0.42545,1.21074,0.00040225,0.00040225,0.00040225
38,6133.32,0.8152,0.4703,1.11283,0.94747,0.95032,0.97883,0.76073,0.89104,0.40634,1.21942,0.000396063,0.000396063,0.000396063
39,6378.49,0.82207,0.47819,1.12436,0.95067,0.95716,0.97926,0.76158,0.85582,0.3866,1.1874,0.000389875,0.000389875,0.000389875
40,6700.06,0.79233,0.4512,1.11079,0.92925,0.89732,0.92289,0.73867,0.81319,0.38735,1.17001,0.000383688,0.000383688,0.000383688
41,6929.71,0.79694,0.46816,1.09351,0.94168,0.94926,0.96788,0.78174,0.8226,0.39182,1.16667,0.0003775,0.0003775,0.0003775
42,7229.23,0.79462,0.47639,1.11297,0.95882,0.91497,0.94454,0.74447,0.83741,0.40469,1.19271,0.000371313,0.000371313,0.000371313
43,7486.31,0.78987,0.44895,1.09815,0.95248,0.94235,0.98118,0.79456,0.82983,0.38867,1.18286,0.000365125,0.000365125,0.000365125
44,7662.68,0.78303,0.43472,1.0974,0.95876,0.93735,0.97877,0.79171,0.81,0.37567,1.164,0.000358938,0.000358938,0.000358938
45,7847.57,0.78401,0.4382,1.08286,0.96341,0.9361,0.97492,0.77267,0.8567,0.38374,1.18101,0.00035275,0.00035275,0.00035275
46,8052.07,0.79464,0.44896,1.09643,0.93389,0.95431,0.96924,0.77367,0.84394,0.38919,1.17327,0.000346563,0.000346563,0.000346563
47,8329.7,0.78424,0.44789,1.09907,0.94282,0.95666,0.9734,0.78564,0.84336,0.38192,1.16873,0.000340375,0.000340375,0.000340375
48,8536.86,0.78548,0.43136,1.09129,0.96064,0.93723,0.9745,0.79105,0.81205,0.36246,1.15453,0.000334188,0.000334188,0.000334188
49,8774.93,0.74838,0.42379,1.06182,0.9557,0.94522,0.97466,0.7835,0.81206,0.37073,1.16391,0.000328,0.000328,0.000328
50,8974.12,0.78623,0.45449,1.09861,0.94247,0.94738,0.96634,0.79323,0.78443,0.35964,1.14743,0.000321812,0.000321812,0.000321812
51,9202.32,0.77559,0.42327,1.08106,0.93202,0.95358,0.95439,0.78076,0.78313,0.37538,1.15886,0.000315625,0.000315625,0.000315625
52,9420.53,0.768,0.42847,1.092,0.94633,0.93205,0.96801,0.78862,0.79152,0.36021,1.13406,0.000309437,0.000309437,0.000309437
53,9660.58,0.76833,0.41935,1.08566,0.93742,0.93455,0.9662,0.77387,0.82376,0.38227,1.16346,0.00030325,0.00030325,0.00030325
54,9918.98,0.75534,0.41756,1.09277,0.96603,0.94557,0.9772,0.78757,0.81148,0.35223,1.1487,0.000297063,0.000297063,0.000297063
55,10213.3,0.76223,0.40423,1.07239,0.96535,0.95219,0.97775,0.78886,0.8191,0.34672,1.14474,0.000290875,0.000290875,0.000290875
56,10484.1,0.73687,0.40984,1.05811,0.96283,0.91472,0.94277,0.76662,0.78345,0.34825,1.14289,0.000284688,0.000284688,0.000284688
57,10761.2,0.75165,0.40933,1.06964,0.96187,0.94188,0.96898,0.78443,0.81259,0.36242,1.14576,0.0002785,0.0002785,0.0002785
58,11052.4,0.75955,0.42489,1.08295,0.96277,0.92055,0.94607,0.77304,0.76662,0.34481,1.13468,0.000272313,0.000272313,0.000272313
59,11312,0.73481,0.40691,1.071,0.96486,0.91592,0.94128,0.76677,0.81151,0.35633,1.14846,0.000266125,0.000266125,0.000266125
60,11560.7,0.7431,0.42461,1.07001,0.95367,0.94679,0.97648,0.79589,0.79577,0.35149,1.14024,0.000259938,0.000259938,0.000259938
61,11894.7,0.73612,0.41449,1.0679,0.95827,0.92552,0.94226,0.77431,0.77453,0.34472,1.13909,0.00025375,0.00025375,0.00025375
62,12520.1,0.74358,0.41235,1.07123,0.95505,0.93583,0.96938,0.79576,0.81279,0.36167,1.16091,0.000247563,0.000247563,0.000247563
63,12799.8,0.72984,0.40314,1.05672,0.95469,0.94141,0.97594,0.779,0.82687,0.35317,1.15834,0.000241375,0.000241375,0.000241375
64,13095.7,0.73245,0.40135,1.0534,0.95376,0.94912,0.97633,0.79476,0.80605,0.34708,1.14425,0.000235188,0.000235188,0.000235188
65,13393.6,0.72293,0.40143,1.05836,0.95324,0.93675,0.96931,0.80431,0.77684,0.3429,1.13341,0.000229,0.000229,0.000229
66,13708.5,0.71259,0.39534,1.04701,0.96241,0.94779,0.97493,0.80377,0.77347,0.34359,1.12924,0.000222813,0.000222813,0.000222813
67,14005.3,0.71374,0.38905,1.05055,0.95245,0.94962,0.97991,0.80697,0.77146,0.34545,1.13134,0.000216625,0.000216625,0.000216625
68,14323.1,0.70384,0.37089,1.04177,0.95351,0.94893,0.97224,0.80121,0.78275,0.34448,1.13753,0.000210437,0.000210437,0.000210437
69,14663,0.70454,0.37462,1.03452,0.96327,0.91774,0.95309,0.7922,0.76002,0.33259,1.12716,0.00020425,0.00020425,0.00020425
70,14974.1,0.7018,0.37627,1.04154,0.94928,0.95404,0.97503,0.81044,0.73286,0.32051,1.11208,0.000198063,0.000198063,0.000198063
71,15308.4,0.70161,0.3685,1.03897,0.95208,0.95496,0.96727,0.79854,0.75301,0.32938,1.12929,0.000191875,0.000191875,0.000191875
72,15719.1,0.71051,0.37686,1.04337,0.95881,0.9686,0.97912,0.79496,0.77699,0.33197,1.13525,0.000185688,0.000185688,0.000185688
73,16127.3,0.69016,0.36728,1.03304,0.95493,0.96261,0.97619,0.79577,0.78891,0.34004,1.14851,0.0001795,0.0001795,0.0001795
74,16470.3,0.70213,0.37796,1.03375,0.95864,0.95604,0.97092,0.8057,0.7729,0.33382,1.12616,0.000173313,0.000173313,0.000173313
75,16844.5,0.70084,0.37301,1.04979,0.96127,0.96096,0.97571,0.82193,0.72715,0.32029,1.11085,0.000167125,0.000167125,0.000167125
76,17285.3,0.66899,0.36553,1.03313,0.96512,0.94625,0.98164,0.81093,0.75291,0.32433,1.11725,0.000160938,0.000160938,0.000160938
77,17752.4,0.67625,0.35861,1.02706,0.95705,0.93472,0.95411,0.77828,0.774,0.33636,1.12659,0.00015475,0.00015475,0.00015475
78,18224.5,0.67859,0.35986,1.04178,0.94933,0.95026,0.97084,0.80474,0.77304,0.33163,1.12636,0.000148563,0.000148563,0.000148563
79,18790.7,0.662,0.35251,1.01859,0.93989,0.96526,0.97263,0.81309,0.76381,0.32625,1.12117,0.000142375,0.000142375,0.000142375
80,20180.1,0.66764,0.36086,1.01752,0.93313,0.96518,0.96673,0.81029,0.74713,0.31805,1.10969,0.000136187,0.000136187,0.000136187
81,20828.6,0.68471,0.36294,1.03861,0.9479,0.9462,0.96631,0.79725,0.74669,0.31789,1.10677,0.00013,0.00013,0.00013
82,21292.4,0.68321,0.36403,1.03784,0.94955,0.94093,0.97359,0.81418,0.74378,0.31797,1.1104,0.000123812,0.000123812,0.000123812
83,22499.2,0.65977,0.34907,1.02605,0.95311,0.9451,0.97292,0.81396,0.73124,0.31236,1.10839,0.000117625,0.000117625,0.000117625
84,23239.6,0.66842,0.34058,1.0156,0.95077,0.91435,0.93374,0.76964,0.76212,0.31658,1.11915,0.000111438,0.000111438,0.000111438
85,24199.7,0.64959,0.34891,1.01778,0.95629,0.94555,0.96591,0.79859,0.74656,0.31606,1.10944,0.00010525,0.00010525,0.00010525
86,24744.8,0.65347,0.34259,1.00637,0.95016,0.94707,0.97018,0.80271,0.75081,0.31277,1.1121,9.90625e-05,9.90625e-05,9.90625e-05
87,25401.7,0.64946,0.35394,1.01257,0.95121,0.94865,0.97155,0.80086,0.74337,0.3133,1.11414,9.2875e-05,9.2875e-05,9.2875e-05
88,26034.4,0.65682,0.34266,1.01918,0.95421,0.95047,0.97507,0.80934,0.73204,0.31054,1.10967,8.66875e-05,8.66875e-05,8.66875e-05
89,27269,0.65477,0.353,1.02501,0.94827,0.94775,0.97292,0.80606,0.77353,0.32454,1.13258,8.05e-05,8.05e-05,8.05e-05
90,28447.6,0.65311,0.33753,1.01013,0.95044,0.94473,0.9711,0.8184,0.73192,0.3136,1.10302,7.43125e-05,7.43125e-05,7.43125e-05
91,29083.3,0.62075,0.31371,1.01404,0.9591,0.9378,0.97339,0.80953,0.74569,0.31471,1.11639,6.8125e-05,6.8125e-05,6.8125e-05
92,29834,0.59901,0.3046,0.99851,0.94998,0.94915,0.96872,0.81453,0.71431,0.30289,1.10366,6.19375e-05,6.19375e-05,6.19375e-05
93,31013.7,0.61169,0.30744,1.00181,0.95356,0.91868,0.94385,0.79079,0.73594,0.3078,1.11248,5.575e-05,5.575e-05,5.575e-05
94,35325.4,0.6156,0.31113,1.02202,0.95474,0.95035,0.97213,0.81618,0.71799,0.30682,1.10349,4.95625e-05,4.95625e-05,4.95625e-05
95,42902.7,0.59987,0.29173,0.99418,0.95525,0.94784,0.97158,0.81076,0.72693,0.31074,1.1089,4.3375e-05,4.3375e-05,4.3375e-05
96,46382.8,0.60373,0.30734,1.00311,0.95498,0.94997,0.97101,0.809,0.72963,0.3101,1.11239,3.71875e-05,3.71875e-05,3.71875e-05
97,48845.3,0.60008,0.29719,0.9937,0.95026,0.92397,0.95018,0.79245,0.7247,0.30877,1.11131,3.1e-05,3.1e-05,3.1e-05
98,50552.6,0.59835,0.30449,1.00287,0.95536,0.94583,0.97153,0.81468,0.72225,0.30662,1.11052,2.48125e-05,2.48125e-05,2.48125e-05
99,52343.9,0.58502,0.29866,0.99819,0.95576,0.72183,0.79284,0.6751,0.71704,0.30325,1.10716,1.8625e-05,1.8625e-05,1.8625e-05
100,53665.2,0.6013,0.29972,0.99839,0.956,0.94712,0.97506,0.82029,0.71852,0.30495,1.1089,1.24375e-05,1.24375e-05,1.24375e-05
