epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.35,0.57594,0.35058,0.83736,0.95208,0.93896,0.97047,0.83393,0.61904,0.37041,0.83388,0.000204802,0.000204802,0.000204802
2,574.183,0.52666,0.34756,0.82738,0.91749,0.89768,0.95697,0.82553,0.60477,0.41772,0.83308,0.000392685,0.000392685,0.000392685
3,861.219,0.53545,0.38671,0.83406,0.91673,0.88813,0.95303,0.81034,0.64043,0.44195,0.84412,0.000559944,0.000559944,0.000559944
4,1147.98,0.53135,0.38541,0.83192,0.93583,0.90749,0.95722,0.80014,0.68315,0.43235,0.8472,0.000532187,0.000532187,0.000532187
5,1422.76,0.51871,0.35602,0.82566,0.95778,0.88929,0.97169,0.82964,0.64342,0.40851,0.83844,0.00050125,0.00050125,0.00050125
6,1688.44,0.5254,0.36081,0.83153,0.94056,0.90872,0.96556,0.82561,0.62492,0.42611,0.83382,0.000470312,0.000470312,0.000470312
7,1965.05,0.51313,0.35651,0.82599,0.93071,0.92917,0.97049,0.83965,0.60866,0.40398,0.83246,0.000439375,0.000439375,0.000439375
8,2262.84,0.51546,0.38687,0.82096,0.93453,0.93856,0.96773,0.83334,0.6124,0.38848,0.83179,0.000408438,0.000408438,0.000408438
9,2557.1,0.50681,0.34042,0.82602,0.93262,0.8995,0.96375,0.83198,0.60148,0.41798,0.83105,0.0003775,0.0003775,0.0003775
10,2858.6,0.49654,0.32369,0.82253,0.9392,0.90125,0.96138,0.82586,0.61434,0.40034,0.83464,0.000346563,0.000346563,0.000346563
11,3161.74,0.49899,0.33291,0.82356,0.93579,0.90821,0.96491,0.82442,0.62257,0.41015,0.83623,0.000315625,0.000315625,0.000315625
12,3436.85,0.49622,0.31625,0.82344,0.94064,0.92261,0.96965,0.83651,0.60442,0.37467,0.83073,0.000284688,0.000284688,0.000284688
13,3704.54,0.48714,0.31228,0.81455,0.92947,0.93702,0.9695,0.83534,0.60981,0.37594,0.83102,0.00025375,0.00025375,0.00025375
14,3975.94,0.47797,0.28139,0.82552,0.9483,0.92504,0.97219,0.83915,0.6062,0.36098,0.83232,0.000222813,0.000222813,0.000222813
15,4256.99,0.47069,0.2749,0.80969,0.95963,0.90924,0.97443,0.84517,0.60247,0.36263,0.83139,0.000191875,0.000191875,0.000191875
16,4528.93,0.45154,0.26783,0.80909,0.95125,0.89724,0.9717,0.84465,0.59028,0.36867,0.82774,0.000160938,0.000160938,0.000160938
17,4803.08,0.45835,0.26961,0.81238,0.95529,0.92393,0.97291,0.84326,0.59843,0.34773,0.8299,0.00013,0.00013,0.00013
18,5079.56,0.45429,0.26919,0.81452,0.95406,0.9484,0.97876,0.84844,0.59669,0.32695,0.82996,9.90625e-05,9.90625e-05,9.90625e-05
19,5367.59,0.43933,0.24619,0.81763,0.95428,0.95034,0.9812,0.85313,0.59216,0.31473,0.82863,6.8125e-05,6.8125e-05,6.8125e-05
20,5658.97,0.44115,0.25833,0.81722,0.95088,0.95098,0.98031,0.85286,0.58665,0.31411,0.8271,3.71875e-05,3.71875e-05,3.71875e-05
