epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.942,0.54375,0.34725,0.83344,0.94929,0.94333,0.96934,0.83252,0.62482,0.35706,0.83486,0.000204802,0.000204802,0.000204802
2,630.312,0.50373,0.32287,0.82899,0.9216,0.95048,0.9718,0.83391,0.62256,0.376,0.83588,0.000392685,0.000392685,0.000392685
3,967.858,0.53987,0.38083,0.83819,0.92941,0.91356,0.95746,0.81994,0.62694,0.41159,0.83594,0.000559944,0.000559944,0.000559944
4,1303.14,0.54165,0.36831,0.82563,0.87867,0.89557,0.94258,0.80468,0.63097,0.45932,0.83741,0.000532187,0.000532187,0.000532187
5,1630.24,0.52482,0.38111,0.82789,0.9398,0.91352,0.96154,0.82081,0.63759,0.41649,0.83916,0.00050125,0.00050125,0.00050125
6,1956.98,0.52159,0.35285,0.82804,0.94642,0.90256,0.96936,0.82787,0.62713,0.40078,0.83801,0.000470312,0.000470312,0.000470312
7,2295.17,0.52798,0.36232,0.83914,0.91464,0.89498,0.96449,0.82851,0.61162,0.42739,0.83521,0.000439375,0.000439375,0.000439375
8,2629.74,0.52381,0.3809,0.82738,0.89872,0.92444,0.96701,0.83388,0.60781,0.39788,0.8331,0.000408438,0.000408438,0.000408438
9,2956.95,0.50882,0.37649,0.81419,0.91734,0.89338,0.95209,0.82422,0.60089,0.42965,0.83196,0.0003775,0.0003775,0.0003775
10,3285.74,0.50722,0.33387,0.83511,0.91837,0.88985,0.95431,0.82678,0.59532,0.40005,0.83095,0.000346563,0.000346563,0.000346563
11,3618.97,0.49351,0.32735,0.81225,0.91875,0.92357,0.95839,0.83066,0.60231,0.40578,0.83195,0.000315625,0.000315625,0.000315625
12,3955.37,0.46844,0.3,0.81696,0.92606,0.93601,0.96236,0.83163,0.60022,0.36942,0.83156,0.000284688,0.000284688,0.000284688
13,4271.18,0.49136,0.29499,0.81845,0.93092,0.93746,0.96005,0.82631,0.60578,0.36485,0.83263,0.00025375,0.00025375,0.00025375
14,4854.59,0.46666,0.29021,0.81976,0.9306,0.92907,0.95544,0.82606,0.59963,0.38151,0.83216,0.000222813,0.000222813,0.000222813
15,5169.32,0.46352,0.29041,0.8138,0.93265,0.92971,0.95759,0.82999,0.59622,0.36827,0.83012,0.000191875,0.000191875,0.000191875
16,5485.84,0.45794,0.28404,0.81509,0.94119,0.91563,0.95607,0.82879,0.59674,0.36182,0.83082,0.000160938,0.000160938,0.000160938
17,5805.54,0.45577,0.25784,0.81781,0.93589,0.92426,0.95511,0.82808,0.59463,0.36439,0.82989,0.00013,0.00013,0.00013
18,6130.07,0.44567,0.25969,0.81467,0.94028,0.9368,0.96636,0.8391,0.59199,0.34446,0.82829,9.90625e-05,9.90625e-05,9.90625e-05
19,6421.29,0.44491,0.25151,0.81136,0.94922,0.93528,0.96696,0.84032,0.5871,0.34255,0.82824,6.8125e-05,6.8125e-05,6.8125e-05
20,6704.96,0.42729,0.24371,0.80348,0.93994,0.93471,0.96584,0.84122,0.58565,0.34216,0.82793,3.71875e-05,3.71875e-05,3.71875e-05
